home_language,pct_of_students,county_district_school_code,academic_year
Albanian,2.2,03-1700-060,2022-2023
English,62.9,03-1700-060,2022-2023
Other,8.5,03-1700-060,2022-2023
Polish,3.5,03-1700-060,2022-2023
Spanish,21.1,03-1700-060,2022-2023
Ukrainian,1.9,03-1700-060,2022-2023
Albanian,3.2,03-1700-070,2022-2023
Arabic,2.0,03-1700-070,2022-2023
English,59.5,03-1700-070,2022-2023
Other,5.1,03-1700-070,2022-2023
Polish,5.2,03-1700-070,2022-2023
Spanish,25.0,03-1700-070,2022-2023
English,57.9,03-1700-080,2022-2023
Multiple languages,1.4,03-1700-080,2022-2023
Other,2.3,03-1700-080,2022-2023
Polish,1.4,03-1700-080,2022-2023
Spanish,35.3,03-1700-080,2022-2023
Ukrainian,1.7,03-1700-080,2022-2023
Albanian,4.8,03-1700-086,2022-2023
English,51.2,03-1700-086,2022-2023
Multiple languages,5.6,03-1700-086,2022-2023
Other,10.4,03-1700-086,2022-2023
Polish,6.4,03-1700-086,2022-2023
Spanish,21.6,03-1700-086,2022-2023
Albanian,2.8,03-1700-100,2022-2023
Arabic,3.2,03-1700-100,2022-2023
English,58.7,03-1700-100,2022-2023
Multiple languages,2.4,03-1700-100,2022-2023
Other,8.5,03-1700-100,2022-2023
Spanish,24.3,03-1700-100,2022-2023
Albanian,3.2,03-1700-120,2022-2023
English,58.1,03-1700-120,2022-2023
Macedonian,6.5,03-1700-120,2022-2023
Other,7.6,03-1700-120,2022-2023
Polish,11.7,03-1700-120,2022-2023
Spanish,12.9,03-1700-120,2022-2023
English,60.9,03-1700-130,2022-2023
Macedonian,4.1,03-1700-130,2022-2023
Other,10.7,03-1700-130,2022-2023
Polish,9.2,03-1700-130,2022-2023
Spanish,12.5,03-1700-130,2022-2023
Ukrainian,2.6,03-1700-130,2022-2023
Albanian,1.2,03-1700-205,2022-2023
Arabic,2.8,03-1700-205,2022-2023
English,61.0,03-1700-205,2022-2023
Other,4.8,03-1700-205,2022-2023
Spanish,30.3,03-1700-205,2022-2023
Albanian,2.4,03-1700-300,2022-2023
English,64.1,03-1700-300,2022-2023
Other,7.6,03-1700-300,2022-2023
Polish,6.5,03-1700-300,2022-2023
Spanish,17.1,03-1700-300,2022-2023
Ukrainian,2.4,03-1700-300,2022-2023
Albanian,3.1,03-1700-302,2022-2023
English,56.1,03-1700-302,2022-2023
Multiple languages,4.1,03-1700-302,2022-2023
Other,9.2,03-1700-302,2022-2023
Spanish,23.5,03-1700-302,2022-2023
Ukrainian,4.1,03-1700-302,2022-2023
English,87.9,03-1760-050,2022-2023
Japanese,1.2,03-1760-050,2022-2023
Korean,2.7,03-1760-050,2022-2023
Other,4.8,03-1760-050,2022-2023
Russian,1.9,03-1760-050,2022-2023
Spanish,1.4,03-1760-050,2022-2023
Chinese,1.3,03-1760-060,2022-2023
English,85.6,03-1760-060,2022-2023
Korean,1.6,03-1760-060,2022-2023
Other,6.6,03-1760-060,2022-2023
Russian,3.1,03-1760-060,2022-2023
Spanish,1.8,03-1760-060,2022-2023
Chinese,2.8,03-1760-065,2022-2023
English,73.6,03-1760-065,2022-2023
Japanese,5.6,03-1760-065,2022-2023
Korean,3.5,03-1760-065,2022-2023
Other,10.6,03-1760-065,2022-2023
Russian,3.9,03-1760-065,2022-2023
English,81.6,03-1760-070,2022-2023
Hebrew,1.1,03-1760-070,2022-2023
Hindi,1.9,03-1760-070,2022-2023
Korean,3.7,03-1760-070,2022-2023
Other,10.1,03-1760-070,2022-2023
Russian,1.5,03-1760-070,2022-2023
English,87.2,03-1760-080,2022-2023
Japanese,1.1,03-1760-080,2022-2023
Korean,1.7,03-1760-080,2022-2023
Other,5.7,03-1760-080,2022-2023
Russian,2.6,03-1760-080,2022-2023
Spanish,1.7,03-1760-080,2022-2023
Chinese,3.1,03-1760-090,2022-2023
English,75.6,03-1760-090,2022-2023
Hindi,1.7,03-1760-090,2022-2023
Korean,4.2,03-1760-090,2022-2023
Other,9.8,03-1760-090,2022-2023
Russian,5.6,03-1760-090,2022-2023
English,47.7,03-1860-050,2022-2023
Other,4.1,03-1860-050,2022-2023
Spanish,48.2,03-1860-050,2022-2023
Arabic,1.2,03-1860-090,2022-2023
English,51.2,03-1860-090,2022-2023
Hindi,1.0,03-1860-090,2022-2023
Other,6.8,03-1860-090,2022-2023
Spanish,38.6,03-1860-090,2022-2023
Twi,1.0,03-1860-090,2022-2023
English,61.6,03-1860-100,2022-2023
Other,3.5,03-1860-100,2022-2023
Spanish,34.8,03-1860-100,2022-2023
English,51.8,03-1860-110,2022-2023
Hindi,1.2,03-1860-110,2022-2023
Other,6.5,03-1860-110,2022-2023
Spanish,40.5,03-1860-110,2022-2023
English,28.3,03-1860-120,2022-2023
Other,3.4,03-1860-120,2022-2023
Spanish,68.4,03-1860-120,2022-2023
English,46.0,03-1860-300,2022-2023
Other,3.6,03-1860-300,2022-2023
Spanish,50.4,03-1860-300,2022-2023
English,80.4,03-2050-050,2022-2023
Korean,13.8,03-2050-050,2022-2023
Other,3.4,03-2050-050,2022-2023
Russian,1.3,03-2050-050,2022-2023
Spanish,1.1,03-2050-050,2022-2023
Albanian,1.5,03-2080-050,2022-2023
Arabic,1.7,03-2080-050,2022-2023
English,75.5,03-2080-050,2022-2023
Other,7.4,03-2080-050,2022-2023
Spanish,12.5,03-2080-050,2022-2023
Tagalog,1.5,03-2080-050,2022-2023
Arabic,1.7,03-2080-055,2022-2023
Chinese,1.5,03-2080-055,2022-2023
English,76.8,03-2080-055,2022-2023
Other,7.4,03-2080-055,2022-2023
Spanish,11.4,03-2080-055,2022-2023
Turkish,1.2,03-2080-055,2022-2023
Albanian,1.3,03-2080-060,2022-2023
Chinese,1.3,03-2080-060,2022-2023
English,76.1,03-2080-060,2022-2023
Other,9.4,03-2080-060,2022-2023
Polish,1.8,03-2080-060,2022-2023
Spanish,10.0,03-2080-060,2022-2023
Albanian,2.3,03-2080-080,2022-2023
Arabic,1.8,03-2080-080,2022-2023
English,71.9,03-2080-080,2022-2023
Other,9.8,03-2080-080,2022-2023
Spanish,12.3,03-2080-080,2022-2023
Tibetan,2.0,03-2080-080,2022-2023
Chinese,1.2,03-2090-050,2022-2023
English,93.0,03-2090-050,2022-2023
Korean,3.3,03-2090-050,2022-2023
Other,2.6,03-2090-050,2022-2023
Chinese,1.3,03-2180-010,2022-2023
English,90.3,03-2180-010,2022-2023
Other,3.0,03-2180-010,2022-2023
Spanish,5.4,03-2180-010,2022-2023
English,90.0,03-2180-020,2022-2023
Korean,1.0,03-2180-020,2022-2023
Other,3.3,03-2180-020,2022-2023
Spanish,5.6,03-2180-020,2022-2023
English,93.9,03-2180-030,2022-2023
Korean,2.0,03-2180-030,2022-2023
Other,0.9,03-2180-030,2022-2023
Russian,1.2,03-2180-030,2022-2023
Spanish,2.0,03-2180-030,2022-2023
English,93.8,03-2200-050,2022-2023
Other,5.1,03-2200-050,2022-2023
Spanish,1.1,03-2200-050,2022-2023
Chinese,2.1,03-2620-050,2022-2023
English,55.6,03-2620-050,2022-2023
Japanese,2.4,03-2620-050,2022-2023
Korean,18.1,03-2620-050,2022-2023
Other,10.6,03-2620-050,2022-2023
Spanish,11.3,03-2620-050,2022-2023
Chinese,2.3,03-2620-055,2022-2023
English,58.0,03-2620-055,2022-2023
Japanese,1.8,03-2620-055,2022-2023
Korean,19.4,03-2620-055,2022-2023
Other,8.1,03-2620-055,2022-2023
Spanish,10.4,03-2620-055,2022-2023
Chinese,2.4,03-2620-060,2022-2023
English,53.9,03-2620-060,2022-2023
Japanese,2.1,03-2620-060,2022-2023
Korean,27.0,03-2620-060,2022-2023
Other,5.3,03-2620-060,2022-2023
Spanish,9.2,03-2620-060,2022-2023
Arabic,2.9,03-2710-030,2022-2023
English,65.0,03-2710-030,2022-2023
Korean,4.1,03-2710-030,2022-2023
Other,8.7,03-2710-030,2022-2023
Russian,1.2,03-2710-030,2022-2023
Spanish,18.1,03-2710-030,2022-2023
Albanian,1.5,03-2710-050,2022-2023
Arabic,3.3,03-2710-050,2022-2023
English,58.3,03-2710-050,2022-2023
Korean,4.4,03-2710-050,2022-2023
Other,11.0,03-2710-050,2022-2023
Spanish,21.4,03-2710-050,2022-2023
Albanian,2.6,03-2740-050,2022-2023
Arabic,2.9,03-2740-050,2022-2023
English,36.7,03-2740-050,2022-2023
Other,9.7,03-2740-050,2022-2023
Panjabi,1.0,03-2740-050,2022-2023
Spanish,47.1,03-2740-050,2022-2023
Albanian,3.0,03-2740-060,2022-2023
Arabic,4.2,03-2740-060,2022-2023
English,47.7,03-2740-060,2022-2023
Other,6.8,03-2740-060,2022-2023
Polish,1.5,03-2740-060,2022-2023
Spanish,36.7,03-2740-060,2022-2023
Arabic,2.8,03-2740-065,2022-2023
English,55.9,03-2740-065,2022-2023
Gujarati,2.5,03-2740-065,2022-2023
Other,13.0,03-2740-065,2022-2023
Spanish,23.8,03-2740-065,2022-2023
Turkish,2.2,03-2740-065,2022-2023
Albanian,3.4,03-2740-067,2022-2023
Arabic,3.0,03-2740-067,2022-2023
English,42.0,03-2740-067,2022-2023
Other,11.6,03-2740-067,2022-2023
Spanish,38.1,03-2740-067,2022-2023
Turkish,1.9,03-2740-067,2022-2023
Albanian,4.1,03-2740-080,2022-2023
Arabic,5.3,03-2740-080,2022-2023
English,39.4,03-2740-080,2022-2023
Other,5.9,03-2740-080,2022-2023
Spanish,41.8,03-2740-080,2022-2023
Turkish,3.5,03-2740-080,2022-2023
Arabic,2.7,03-2740-090,2022-2023
English,51.0,03-2740-090,2022-2023
Other,10.1,03-2740-090,2022-2023
Spanish,31.9,03-2740-090,2022-2023
Turkish,2.2,03-2740-090,2022-2023
Urdu,2.2,03-2740-090,2022-2023
Albanian,2.8,03-2740-100,2022-2023
Arabic,2.8,03-2740-100,2022-2023
English,44.9,03-2740-100,2022-2023
Other,7.3,03-2740-100,2022-2023
Polish,3.1,03-2740-100,2022-2023
Spanish,39.0,03-2740-100,2022-2023
Arabic,1.0,03-2860-050,2022-2023
English,85.8,03-2860-050,2022-2023
Other,4.5,03-2860-050,2022-2023
Spanish,8.8,03-2860-050,2022-2023
Arabic,1.8,03-2860-060,2022-2023
English,90.3,03-2860-060,2022-2023
Other,3.5,03-2860-060,2022-2023
Spanish,1.8,03-2860-060,2022-2023
Turkish,2.7,03-2860-060,2022-2023
Albanian,1.5,03-2860-070,2022-2023
English,77.2,03-2860-070,2022-2023
Other,3.0,03-2860-070,2022-2023
Portuguese,1.5,03-2860-070,2022-2023
Spanish,15.2,03-2860-070,2022-2023
Turkish,1.5,03-2860-070,2022-2023
English,81.3,03-2860-080,2022-2023
Other,2.6,03-2860-080,2022-2023
Portuguese,2.6,03-2860-080,2022-2023
Spanish,12.3,03-2860-080,2022-2023
Turkish,1.3,03-2860-080,2022-2023
Arabic,1.5,03-2860-110,2022-2023
English,90.3,03-2860-110,2022-2023
Other,3.3,03-2860-110,2022-2023
Spanish,4.9,03-2860-110,2022-2023
Albanian,1.2,03-2860-120,2022-2023
English,82.3,03-2860-120,2022-2023
Other,1.8,03-2860-120,2022-2023
Polish,1.2,03-2860-120,2022-2023
Portuguese,1.8,03-2860-120,2022-2023
Spanish,11.6,03-2860-120,2022-2023
English,84.6,03-2860-300,2022-2023
Nepali,1.9,03-2860-300,2022-2023
Other,2.9,03-2860-300,2022-2023
Portuguese,1.9,03-2860-300,2022-2023
Spanish,6.7,03-2860-300,2022-2023
Turkish,1.9,03-2860-300,2022-2023
Albanian,2.0,03-2860-301,2022-2023
Arabic,2.0,03-2860-301,2022-2023
English,86.0,03-2860-301,2022-2023
Portuguese,2.0,03-2860-301,2022-2023
Spanish,6.0,03-2860-301,2022-2023
English,87.3,03-2860-302,2022-2023
Other,3.7,03-2860-302,2022-2023
Spanish,8.0,03-2860-302,2022-2023
Turkish,1.0,03-2860-302,2022-2023
English,90.2,03-2900-050,2022-2023
Other,6.9,03-2900-050,2022-2023
Spanish,2.9,03-2900-050,2022-2023
Chinese,1.1,03-2900-060,2022-2023
English,91.8,03-2900-060,2022-2023
Other,4.3,03-2900-060,2022-2023
Russian,1.1,03-2900-060,2022-2023
Spanish,1.8,03-2900-060,2022-2023
Arabic,1.5,03-2900-065,2022-2023
English,82.3,03-2900-065,2022-2023
Korean,2.1,03-2900-065,2022-2023
Other,9.5,03-2900-065,2022-2023
Russian,2.3,03-2900-065,2022-2023
Spanish,2.3,03-2900-065,2022-2023
English,86.4,03-2900-075,2022-2023
Hindi,1.3,03-2900-075,2022-2023
Korean,1.3,03-2900-075,2022-2023
Other,5.9,03-2900-075,2022-2023
Russian,1.3,03-2900-075,2022-2023
Spanish,3.7,03-2900-075,2022-2023
Chinese,1.2,03-2900-076,2022-2023
English,86.5,03-2900-076,2022-2023
Other,5.4,03-2900-076,2022-2023
Polish,1.1,03-2900-076,2022-2023
Russian,1.2,03-2900-076,2022-2023
Spanish,4.5,03-2900-076,2022-2023
English,92.0,03-2900-080,2022-2023
Korean,1.0,03-2900-080,2022-2023
Other,2.0,03-2900-080,2022-2023
Persian,1.0,03-2900-080,2022-2023
Polish,1.0,03-2900-080,2022-2023
Spanish,3.0,03-2900-080,2022-2023
Arabic,1.3,03-3060-060,2022-2023
English,64.6,03-3060-060,2022-2023
Other,12.2,03-3060-060,2022-2023
Spanish,18.3,03-3060-060,2022-2023
Tamil,1.9,03-3060-060,2022-2023
Telugu,1.3,03-3060-060,2022-2023
Arabic,2.8,03-3060-070,2022-2023
English,62.1,03-3060-070,2022-2023
Hindi,2.1,03-3060-070,2022-2023
Other,12.4,03-3060-070,2022-2023
Spanish,16.1,03-3060-070,2022-2023
Tamil,4.2,03-3060-070,2022-2023
English,94.5,03-3170-050,2022-2023
Other,1.8,03-3170-050,2022-2023
Spanish,3.7,03-3170-050,2022-2023
English,95.5,03-3170-070,2022-2023
Other,0.7,03-3170-070,2022-2023
Portuguese,1.0,03-3170-070,2022-2023
Spanish,2.8,03-3170-070,2022-2023
English,93.3,03-3170-300,2022-2023
Other,1.6,03-3170-300,2022-2023
Russian,2.0,03-3170-300,2022-2023
Spanish,3.1,03-3170-300,2022-2023
English,82.0,03-3330-020,2022-2023
Korean,2.7,03-3330-020,2022-2023
Other,10.0,03-3330-020,2022-2023
Spanish,5.2,03-3330-020,2022-2023
English,84.4,03-3330-030,2022-2023
Hindi,1.5,03-3330-030,2022-2023
Korean,3.2,03-3330-030,2022-2023
Other,5.5,03-3330-030,2022-2023
Russian,1.1,03-3330-030,2022-2023
Spanish,4.3,03-3330-030,2022-2023
Arabic,2.7,03-3350-060,2022-2023
English,69.0,03-3350-060,2022-2023
Gujarati,1.1,03-3350-060,2022-2023
Other,3.6,03-3350-060,2022-2023
Spanish,22.5,03-3350-060,2022-2023
Tagalog,1.1,03-3350-060,2022-2023
English,74.1,03-3550-050,2022-2023
Filipino,2.8,03-3550-050,2022-2023
Malayalam,1.2,03-3550-050,2022-2023
Other,9.5,03-3550-050,2022-2023
Spanish,9.5,03-3550-050,2022-2023
Syriac,2.9,03-3550-050,2022-2023
English,72.1,03-3550-060,2022-2023
Korean,2.6,03-3550-060,2022-2023
Malayalam,2.3,03-3550-060,2022-2023
Other,10.1,03-3550-060,2022-2023
Spanish,10.8,03-3550-060,2022-2023
Syriac,2.1,03-3550-060,2022-2023
Chinese,1.0,03-3550-070,2022-2023
English,80.7,03-3550-070,2022-2023
Korean,1.0,03-3550-070,2022-2023
Other,5.8,03-3550-070,2022-2023
Spanish,8.2,03-3550-070,2022-2023
Syriac,3.2,03-3550-070,2022-2023
English,71.7,03-3550-085,2022-2023
Korean,1.1,03-3550-085,2022-2023
Malayalam,1.6,03-3550-085,2022-2023
Other,9.9,03-3550-085,2022-2023
Spanish,12.3,03-3550-085,2022-2023
Syriac,3.4,03-3550-085,2022-2023
Arabic,2.2,03-3600-050,2022-2023
English,72.9,03-3600-050,2022-2023
Other,3.0,03-3600-050,2022-2023
Polish,1.2,03-3600-050,2022-2023
Portuguese,3.9,03-3600-050,2022-2023
Spanish,16.8,03-3600-050,2022-2023
Arabic,1.7,03-3600-060,2022-2023
English,75.0,03-3600-060,2022-2023
Other,1.7,03-3600-060,2022-2023
Polish,2.2,03-3600-060,2022-2023
Portuguese,3.3,03-3600-060,2022-2023
Spanish,16.1,03-3600-060,2022-2023
English,80.6,03-3600-070,2022-2023
Portuguese,1.4,03-3600-070,2022-2023
Russian,1.4,03-3600-070,2022-2023
Spanish,15.1,03-3600-070,2022-2023
Turkish,1.4,03-3600-070,2022-2023
Arabic,1.5,03-3600-080,2022-2023
English,78.9,03-3600-080,2022-2023
Other,4.5,03-3600-080,2022-2023
Spanish,15.1,03-3600-080,2022-2023
Arabic,2.7,03-3600-090,2022-2023
English,75.9,03-3600-090,2022-2023
Other,3.5,03-3600-090,2022-2023
Portuguese,2.1,03-3600-090,2022-2023
Spanish,15.8,03-3600-090,2022-2023
Arabic,2.0,03-3600-300,2022-2023
English,72.1,03-3600-300,2022-2023
Other,3.6,03-3600-300,2022-2023
Polish,1.3,03-3600-300,2022-2023
Portuguese,3.3,03-3600-300,2022-2023
Spanish,17.7,03-3600-300,2022-2023
Chinese,1.7,03-3700-050,2022-2023
English,85.6,03-3700-050,2022-2023
Hindi,1.4,03-3700-050,2022-2023
Korean,1.5,03-3700-050,2022-2023
Other,6.6,03-3700-050,2022-2023
Spanish,3.1,03-3700-050,2022-2023
English,76.2,03-3710-050,2022-2023
Hebrew,6.1,03-3710-050,2022-2023
Korean,9.0,03-3710-050,2022-2023
Other,6.6,03-3710-050,2022-2023
Spanish,2.1,03-3710-050,2022-2023
English,78.5,03-3710-060,2022-2023
Korean,12.4,03-3710-060,2022-2023
Other,6.0,03-3710-060,2022-2023
Spanish,3.1,03-3710-060,2022-2023
English,89.4,03-3710-300,2022-2023
Korean,5.6,03-3710-300,2022-2023
Other,3.2,03-3710-300,2022-2023
Spanish,1.4,03-3710-300,2022-2023
English,71.9,03-3730-050,2022-2023
Korean,17.4,03-3730-050,2022-2023
Other,6.0,03-3730-050,2022-2023
Spanish,4.7,03-3730-050,2022-2023
English,78.1,03-3740-020,2022-2023
Korean,17.7,03-3740-020,2022-2023
Other,4.2,03-3740-020,2022-2023
English,90.1,03-3760-040,2022-2023
Other,1.2,03-3760-040,2022-2023
Portuguese,1.2,03-3760-040,2022-2023
Spanish,7.4,03-3760-040,2022-2023
Arabic,1.0,03-3760-050,2022-2023
English,88.0,03-3760-050,2022-2023
Other,3.3,03-3760-050,2022-2023
Spanish,2.3,03-3760-050,2022-2023
Chinese,1.6,03-3760-060,2022-2023
English,95.3,03-3760-060,2022-2023
Other,0.8,03-3760-060,2022-2023
Persian,1.2,03-3760-060,2022-2023
Spanish,1.2,03-3760-060,2022-2023
English,93.5,03-3760-080,2022-2023
Other,3.6,03-3760-080,2022-2023
Spanish,2.9,03-3760-080,2022-2023
Chinese,1.4,03-3850-030,2022-2023
English,71.4,03-3850-030,2022-2023
Korean,20.7,03-3850-030,2022-2023
Other,3.5,03-3850-030,2022-2023
Russian,1.9,03-3850-030,2022-2023
Spanish,1.1,03-3850-030,2022-2023
Arabic,1.3,03-3850-060,2022-2023
Chinese,1.3,03-3850-060,2022-2023
English,66.5,03-3850-060,2022-2023
Korean,20.8,03-3850-060,2022-2023
Other,7.9,03-3850-060,2022-2023
Russian,2.1,03-3850-060,2022-2023
Chinese,1.5,03-3870-050,2022-2023
English,86.3,03-3870-050,2022-2023
Japanese,1.1,03-3870-050,2022-2023
Korean,6.4,03-3870-050,2022-2023
Other,2.8,03-3870-050,2022-2023
Turkish,1.0,03-3870-050,2022-2023
English,67.2,03-3910-050,2022-2023
Korean,2.3,03-3910-050,2022-2023
Other,2.2,03-3910-050,2022-2023
Spanish,28.3,03-3910-050,2022-2023
Arabic,1.1,03-3910-070,2022-2023
English,53.5,03-3910-070,2022-2023
Korean,6.2,03-3910-070,2022-2023
Other,2.5,03-3910-070,2022-2023
Spanish,36.7,03-3910-070,2022-2023
Chinese,1.5,03-3910-080,2022-2023
English,29.8,03-3910-080,2022-2023
Korean,13.7,03-3910-080,2022-2023
Other,3.4,03-3910-080,2022-2023
Spanish,51.5,03-3910-080,2022-2023
Arabic,3.3,03-3930-050,2022-2023
English,71.1,03-3930-050,2022-2023
Gujarati,2.8,03-3930-050,2022-2023
Korean,4.9,03-3930-050,2022-2023
Other,12.5,03-3930-050,2022-2023
Spanish,5.4,03-3930-050,2022-2023
English,67.7,03-3930-060,2022-2023
Gujarati,4.3,03-3930-060,2022-2023
Japanese,3.0,03-3930-060,2022-2023
Korean,2.8,03-3930-060,2022-2023
Other,15.6,03-3930-060,2022-2023
Spanish,6.7,03-3930-060,2022-2023
English,63.9,03-3930-065,2022-2023
Gujarati,2.5,03-3930-065,2022-2023
Japanese,2.4,03-3930-065,2022-2023
Korean,6.7,03-3930-065,2022-2023
Other,17.6,03-3930-065,2022-2023
Spanish,6.9,03-3930-065,2022-2023
Chinese,3.7,03-3930-080,2022-2023
English,64.1,03-3930-080,2022-2023
Japanese,3.7,03-3930-080,2022-2023
Korean,4.7,03-3930-080,2022-2023
Other,18.9,03-3930-080,2022-2023
Spanish,5.0,03-3930-080,2022-2023
English,63.2,03-3930-090,2022-2023
Gujarati,4.7,03-3930-090,2022-2023
Japanese,4.2,03-3930-090,2022-2023
Korean,7.9,03-3930-090,2022-2023
Other,14.2,03-3930-090,2022-2023
Spanish,5.8,03-3930-090,2022-2023
English,69.9,03-3930-100,2022-2023
Gujarati,2.6,03-3930-100,2022-2023
Japanese,2.6,03-3930-100,2022-2023
Korean,2.9,03-3930-100,2022-2023
Other,16.2,03-3930-100,2022-2023
Spanish,5.8,03-3930-100,2022-2023
English,67.8,03-3930-110,2022-2023
Gujarati,5.5,03-3930-110,2022-2023
Japanese,3.3,03-3930-110,2022-2023
Korean,6.1,03-3930-110,2022-2023
Other,14.9,03-3930-110,2022-2023
Spanish,2.5,03-3930-110,2022-2023
Arabic,2.7,03-3930-130,2022-2023
English,71.2,03-3930-130,2022-2023
Gujarati,7.8,03-3930-130,2022-2023
Japanese,2.3,03-3930-130,2022-2023
Other,12.8,03-3930-130,2022-2023
Spanish,3.2,03-3930-130,2022-2023
Armenian,1.0,03-3940-050,2022-2023
Chinese,1.0,03-3940-050,2022-2023
English,83.3,03-3940-050,2022-2023
Other,5.3,03-3940-050,2022-2023
Russian,1.4,03-3940-050,2022-2023
Spanish,8.1,03-3940-050,2022-2023
English,87.8,03-3940-060,2022-2023
Other,5.2,03-3940-060,2022-2023
Spanish,7.0,03-3940-060,2022-2023
English,93.7,03-3940-070,2022-2023
Other,4.8,03-3940-070,2022-2023
Spanish,1.4,03-3940-070,2022-2023
Arabic,1.5,03-3960-040,2022-2023
English,85.4,03-3960-040,2022-2023
Korean,1.9,03-3960-040,2022-2023
Other,7.0,03-3960-040,2022-2023
Russian,1.1,03-3960-040,2022-2023
Spanish,3.1,03-3960-040,2022-2023
English,91.0,03-3960-050,2022-2023
Korean,1.6,03-3960-050,2022-2023
Other,3.7,03-3960-050,2022-2023
Spanish,3.7,03-3960-050,2022-2023
English,90.8,03-4300-030,2022-2023
Other,4.0,03-4300-030,2022-2023
Polish,1.4,03-4300-030,2022-2023
Spanish,3.8,03-4300-030,2022-2023
Arabic,1.6,03-4300-050,2022-2023
English,91.0,03-4300-050,2022-2023
Other,6.3,03-4300-050,2022-2023
Spanish,1.1,03-4300-050,2022-2023
English,89.8,03-4310-050,2022-2023
Other,5.0,03-4310-050,2022-2023
Spanish,5.2,03-4310-050,2022-2023
English,91.2,03-4310-055,2022-2023
Other,2.2,03-4310-055,2022-2023
Russian,1.1,03-4310-055,2022-2023
Spanish,5.5,03-4310-055,2022-2023
English,90.5,03-4310-060,2022-2023
Korean,1.4,03-4310-060,2022-2023
Other,2.4,03-4310-060,2022-2023
Russian,1.4,03-4310-060,2022-2023
Spanish,4.3,03-4310-060,2022-2023
English,95.0,03-4310-070,2022-2023
Other,1.3,03-4310-070,2022-2023
Spanish,3.7,03-4310-070,2022-2023
English,90.0,03-4310-080,2022-2023
Other,4.9,03-4310-080,2022-2023
Spanish,5.2,03-4310-080,2022-2023
Arabic,2.6,03-4370-050,2022-2023
English,47.5,03-4370-050,2022-2023
Korean,13.6,03-4370-050,2022-2023
Other,5.3,03-4370-050,2022-2023
Spanish,31.1,03-4370-050,2022-2023
Albanian,1.9,03-4370-065,2022-2023
Arabic,3.3,03-4370-065,2022-2023
English,46.7,03-4370-065,2022-2023
Korean,15.4,03-4370-065,2022-2023
Other,6.1,03-4370-065,2022-2023
Spanish,26.6,03-4370-065,2022-2023
Arabic,2.2,03-4370-090,2022-2023
English,53.0,03-4370-090,2022-2023
Korean,10.9,03-4370-090,2022-2023
Other,6.6,03-4370-090,2022-2023
Spanish,26.2,03-4370-090,2022-2023
Turkish,1.1,03-4370-090,2022-2023
Arabic,1.4,03-4370-100,2022-2023
English,49.5,03-4370-100,2022-2023
Korean,15.6,03-4370-100,2022-2023
Other,5.1,03-4370-100,2022-2023
Spanish,25.7,03-4370-100,2022-2023
Turkish,2.7,03-4370-100,2022-2023
Arabic,2.5,03-4380-050,2022-2023
English,57.9,03-4380-050,2022-2023
Korean,1.8,03-4380-050,2022-2023
Other,5.5,03-4380-050,2022-2023
Spanish,31.2,03-4380-050,2022-2023
Urdu,1.1,03-4380-050,2022-2023
Bengali,1.9,03-4380-060,2022-2023
English,51.7,03-4380-060,2022-2023
Korean,4.3,03-4380-060,2022-2023
Other,6.6,03-4380-060,2022-2023
Panjabi,1.4,03-4380-060,2022-2023
Spanish,34.1,03-4380-060,2022-2023
Albanian,2.3,03-4380-070,2022-2023
Arabic,1.7,03-4380-070,2022-2023
English,61.3,03-4380-070,2022-2023
Other,3.7,03-4380-070,2022-2023
Spanish,31.1,03-4380-070,2022-2023
English,60.9,03-4380-080,2022-2023
Korean,1.1,03-4380-080,2022-2023
Other,6.3,03-4380-080,2022-2023
Spanish,31.6,03-4380-080,2022-2023
Chinese,1.3,03-4390-050,2022-2023
English,87.3,03-4390-050,2022-2023
Japanese,1.4,03-4390-050,2022-2023
Korean,3.8,03-4390-050,2022-2023
Other,4.8,03-4390-050,2022-2023
Spanish,1.5,03-4390-050,2022-2023
Chinese,1.8,03-4390-060,2022-2023
English,84.9,03-4390-060,2022-2023
Korean,5.0,03-4390-060,2022-2023
Other,5.4,03-4390-060,2022-2023
Russian,1.6,03-4390-060,2022-2023
Spanish,1.3,03-4390-060,2022-2023
English,88.7,03-4390-070,2022-2023
Korean,3.6,03-4390-070,2022-2023
Other,5.5,03-4390-070,2022-2023
Spanish,2.2,03-4390-070,2022-2023
Chinese,7.4,03-4390-080,2022-2023
English,79.4,03-4390-080,2022-2023
Korean,5.1,03-4390-080,2022-2023
Other,2.2,03-4390-080,2022-2023
Spanish,5.9,03-4390-080,2022-2023
Chinese,6.0,03-4390-085,2022-2023
English,71.4,03-4390-085,2022-2023
Japanese,4.1,03-4390-085,2022-2023
Korean,9.3,03-4390-085,2022-2023
Other,6.0,03-4390-085,2022-2023
Spanish,3.0,03-4390-085,2022-2023
Chinese,1.2,03-4390-090,2022-2023
English,94.2,03-4390-090,2022-2023
Other,4.6,03-4390-090,2022-2023
Chinese,2.1,03-4390-100,2022-2023
English,85.1,03-4390-100,2022-2023
Japanese,1.9,03-4390-100,2022-2023
Korean,2.4,03-4390-100,2022-2023
Other,6.6,03-4390-100,2022-2023
Spanish,1.9,03-4390-100,2022-2023
Chinese,2.8,03-4390-110,2022-2023
English,85.5,03-4390-110,2022-2023
Japanese,1.4,03-4390-110,2022-2023
Korean,3.7,03-4390-110,2022-2023
Other,4.3,03-4390-110,2022-2023
Russian,2.3,03-4390-110,2022-2023
