home_language,pct_of_students,county_district_school_code,academic_year
Polish,1.3,03-0290-030,2018-2019
English,85.9,03-0290-070,2018-2019
Other,6.2,03-0290-070,2018-2019
Korean,4.2,03-0290-070,2018-2019
Polish,1.7,03-0290-070,2018-2019
Russian,1.1,03-0290-070,2018-2019
Spanish,1.1,03-0290-070,2018-2019
English,83.1,03-0290-075,2018-2019
Spanish,12.8,03-0290-075,2018-2019
Arabic,2.3,03-0290-075,2018-2019
Other,1.8,03-0290-075,2018-2019
English,84.0,03-0290-300,2018-2019
Other,5.3,03-0290-300,2018-2019
Polish,4.0,03-0290-300,2018-2019
Spanish,3.3,03-0290-300,2018-2019
Ukrainian,2.0,03-0290-300,2018-2019
Arabic,1.3,03-0290-300,2018-2019
English,50.5,03-0300-020,2018-2019
Spanish,32.2,03-0300-020,2018-2019
Tagalog,8.0,03-0300-020,2018-2019
Other,5.7,03-0300-020,2018-2019
Malayalam,1.8,03-0300-020,2018-2019
Filipino,1.8,03-0300-020,2018-2019
English,54.7,03-0300-040,2018-2019
Spanish,29.2,03-0300-040,2018-2019
Other,6.7,03-0300-040,2018-2019
Tagalog,5.8,03-0300-040,2018-2019
Filipino,1.9,03-0300-040,2018-2019
Malayalam,1.7,03-0300-040,2018-2019
Spanish,43.3,03-0300-050,2018-2019
English,39.7,03-0300-050,2018-2019
Tagalog,6.3,03-0300-050,2018-2019
Other,4.8,03-0300-050,2018-2019
Filipino,4.0,03-0300-050,2018-2019
Urdu,2.0,03-0300-050,2018-2019
English,56.5,03-0300-060,2018-2019
Spanish,24.9,03-0300-060,2018-2019
Other,7.8,03-0300-060,2018-2019
Tagalog,5.6,03-0300-060,2018-2019
Filipino,4.1,03-0300-060,2018-2019
Malayalam,1.1,03-0300-060,2018-2019
English,51.4,03-0300-070,2018-2019
Spanish,32.0,03-0300-070,2018-2019
Other,7.3,03-0300-070,2018-2019
Tagalog,4.3,03-0300-070,2018-2019
Filipino,2.8,03-0300-070,2018-2019
Malayalam,2.1,03-0300-070,2018-2019
English,44.9,03-0300-075,2018-2019
Spanish,36.1,03-0300-075,2018-2019
Tagalog,7.4,03-0300-075,2018-2019
Other,6.8,03-0300-075,2018-2019
Malayalam,2.5,03-0300-075,2018-2019
Filipino,2.4,03-0300-075,2018-2019
English,45.5,03-0300-080,2018-2019
Spanish,32.8,03-0300-080,2018-2019
Other,11.0,03-0300-080,2018-2019
Tagalog,5.5,03-0300-080,2018-2019
Filipino,3.1,03-0300-080,2018-2019
Malayalam,2.1,03-0300-080,2018-2019
English,60.9,03-0440-020,2018-2019
Spanish,32.9,03-0440-020,2018-2019
Other,2.3,03-0440-020,2018-2019
Urdu,1.6,03-0440-020,2018-2019
Tagalog,1.4,03-0440-020,2018-2019
Arabic,1.0,03-0440-020,2018-2019
English,68.6,03-0440-030,2018-2019
Spanish,27.4,03-0440-030,2018-2019
Other,2.2,03-0440-030,2018-2019
Arabic,1.8,03-0440-030,2018-2019
English,77.2,03-0440-050,2018-2019
Spanish,17.9,03-0440-050,2018-2019
Other,2.2,03-0440-050,2018-2019
Urdu,1.6,03-0440-050,2018-2019
Arabic,1.0,03-0440-050,2018-2019
English,73.1,03-0740-050,2018-2019
Spanish,10.8,03-0740-050,2018-2019
Other,6.9,03-0740-050,2018-2019
Polish,3.4,03-0740-050,2018-2019
Turkish,3.4,03-0740-050,2018-2019
Arabic,2.4,03-0740-050,2018-2019
English,64.1,03-0745-050,2018-2019
Spanish,19.3,03-0745-050,2018-2019
Other,8.0,03-0745-050,2018-2019
Polish,3.7,03-0745-050,2018-2019
Arabic,2.4,03-0745-050,2018-2019
Korean,2.4,03-0745-050,2018-2019
Spanish,54.9,03-0890-030,2018-2019
English,28.3,03-0890-030,2018-2019
Arabic,6.1,03-0890-030,2018-2019
Other,5.6,03-0890-030,2018-2019
Portuguese,2.6,03-0890-030,2018-2019
Turkish,2.5,03-0890-030,2018-2019
Spanish,45.8,03-0890-050,2018-2019
English,38.8,03-0890-050,2018-2019
Portuguese,4.9,03-0890-050,2018-2019
Arabic,4.2,03-0890-050,2018-2019
Turkish,3.5,03-0890-050,2018-2019
Other,2.8,03-0890-050,2018-2019
English,52.4,03-0890-060,2018-2019
Spanish,28.1,03-0890-060,2018-2019
Other,9.9,03-0890-060,2018-2019
Korean,3.6,03-0890-060,2018-2019
