county_name,district_name,school_name,street_address,city,state,zipcode,zipcode_extn,county_district_school_code
Union,Union County Vocational-Technical School District,Union County Magnet High School,1776 RARITAN ROAD,SCOTCH PLAINS,NJ,07076,2997,39-5260-040
Camden,Runnemede Public School District,Mary E. Volz Elementary School,509 WEST THIRD AVENUE,RUNNEMEDE,NJ,08078,,07-4590-040
Camden,Cherry Hill School District,James Johnson Elementary School,500 Kresson Rd.,CHERRY HILL,NJ,08034,3121,07-0800-085
Hudson,Jersey City Public Schools,Frank R Conwell School,111 BRIGHT STREET,JERSEY CITY,NJ,07302,4342,17-2390-100
Middlesex,Educational Services Commission of New Jersey,Bright Beginnings Learning Center,1660 STELTON ROAD,PISCATAWAY,NJ,08854,5917,23-3145-100
Monmouth,Spring Lake Heights School District,Spring Lake Heights Elementary School,1110 HIGHWAY 71,SPRING LAKE HEIGHTS,NJ,07762,2009,25-4990-050
Bergen,New Milford Public School District,David E. Owens Middle School,470 MARION AVENUE,NEW MILFORD,NJ,07646,,03-3550-085
Essex,Newark Public School District,Early Childhood School - North,24 Crane Street,Newark,NJ,07104,,13-3570-316
Ocean,Jackson Township School District,Jackson Memorial High School,101 Don Connor Boulevard,Jackson,NJ,08527,3497,29-2360-020
Essex,Montclair Public School District,Renaissance Middle School at the Rand Building,176 North Fullerton Avenue,MONTCLAIR,NJ,07042,,13-3310-165
Mercer,Hamilton Township Public School District,Lalor Elementary School,25 BARNT DEKLYN ROAD,HAMILTON,NJ,08610,6632,21-1950-180
Burlington,Burlington County Institute of Technology School District,Burlington County Institute of Technology - Medford,10 Hawkin Road,Medford,NJ,08055,9412,05-0610-040
Essex,Montclair Public School District,Buzz Aldrin Middle School,173 BELLEVUE AVE,UPPER MONTCLAIR,NJ,07042,,13-3310-127
Ocean,Point Pleasant Borough School District,Nellie F. Bennett Elementary School,RIVIERA PARKWAY,POINT PLEASANT,NJ,08742,,29-4210-055
Passaic,Clifton Public School District,School #5,136 VALLEY ROAD,CLIFTON,NJ,07013,,31-0900-120
Essex,Newark Public School District,Newark Sch of Data Science and Information Technology,746 Sanford Avenue,Newark,NJ,07106,,13-3570-320
Bergen,Leonia Public School District,Anna C. Scott Elementary School,281 Broad Avenue,Leonia,NJ,07605,,03-2620-060
Burlington,Tabernacle Township School District,Tabernacle Elementary School,141 NEW ROAD,TABERNACLE,NJ,08088,,05-5130-060
Somerset,Montgomery Township School District,Montgomery High School,1016 Route 601,Skillman,NJ,08558,1799,35-3320-030
Charters,Hope Community Charter School,Hope Community Charter School,836 S. 4th Street,Camden,NJ,08103,,80-6086-972
Burlington,Lumberton Township Board of Education,Bobby's Run Elementary School,32 DIMSDALE DRIVE,LUMBERTON,NJ,08048,,05-2850-020
Essex,South Orange-Maplewood School District,Jefferson Elementary School,518 RIDGEWOOD RD,MAPLEWOOD,NJ,07040,2158,13-4900-090
Ocean,Seaside Heights School District,Hugh J. Boyd Jr. Elementary School,1200 BAY BOULEVARD,SEASIDE HTS,NJ,08751,,29-4710-050
Camden,Bellmawr Public School District,Bellmawr Park Elementary School,29 PEACH ROAD,BELLMAWR,NJ,08031,,07-0260-020
Morris,Mine Hill Township School District,Canfield Avenue School,42 CANFIELD AVENUE,MINE HILL,NJ,07803,,27-3240-030
Passaic,Lakeland Regional High School District,Lakeland Regional High School,205 CONKLINTOWN ROAD,WANAQUE,NJ,07465,2198,31-2510-050
Union,Clark Township Public School District,Clark Preschool Annex,430 Westfield Ave,Clark,NJ,07066,,39-0850-300
Union,Elizabeth Public Schools,Dr. Albert Einstein Academy School No. 29,919 NORTH BROAD STREET,ELIZABETH,NJ,07208,,39-1320-295
Monmouth,Hazlet Township Public School District,Middle Road School,305 MIDDLE ROAD,HAZLET,NJ,07730,2343,25-2105-090
Passaic,Paterson Public School District,School 1,1 EAST 32ND STREET,PATERSON,NJ,07514,,31-4010-050
Monmouth,LONG BRANCH PUBLIC SCHOOL District,Joseph M. Ferraina Early Childhood Learning Center,80 AVENEL BOULEVARD,LONG BRANCH,NJ,07740,,25-2770-085
Essex,Essex Regional Educational Services Commission,Essex High School,520 Pompton Avenue,Cedar Grove,NJ,07009,,13-1387-030
Somerset,Somerset Hills Regional School District,Bernardsville Middle School,141 Seney Drive,Bernardsville,NJ,07924,,35-4815-040
Bergen,Upper Saddle River School District,Robert D Reynolds Primary School,391 W  SADDLE RIVER RD,UPPER SADDLE RIVER,NJ,07458,,03-5330-070
Burlington,Medford Township School District,Cranberry Pines Elementary,400 FAIRVIEW ROAD,MEDFORD,NJ,08055,9172,05-3080-040
Passaic,Passaic City School District,Thomas Jefferson School No. 1,390 Van Houten Ave.,Passaic,NJ,07055,,31-3970-080
Somerset,Watchung Borough Public School District,Bayberry School,113 Bayberry Lane,Watchung,NJ,07069,,35-5540-040
Essex,Newark Public School District,Lafayette Street School,205 LAFAYETTE ST,NEWARK,NJ,07105,1843,13-3570-480
Hunterdon,Hunterdon County Vocational School District,Hunterdon Polytech Bartles Corner Campus,8 Bartles Corner Road,Flemington,NJ,08822,,19-2308-030
Camden,Camden County Technical School District,Camden County Technical School-GTC,343 Berlin Cross Keys Road,Sicklerville,NJ,08081,,07-0700-040
Essex,South Orange-Maplewood School District,South Orange Middle School,70 North Ridgewood Road,S ORANGE,NJ,07079,1518,13-4900-050
Monmouth,Hazlet Township Public School District,Cove Road School,8 COVE ROAD,HAZLET,NJ,07730,2120,25-2105-070
Essex,West Essex Regional School District,West Essex Middle School,65 WEST GREENBROOK RD,NORTH CALDWELL,NJ,07006,,13-5630-070
Passaic,West Milford Township Public School District,Paradise Knoll Elementary School,103 PARADISE ROAD,OAK RIDGE,NJ,07438,8931,31-5650-080
