county_name,district_name,school_name,county_district_school_code,school_address,name_enc,address_enc,gs_school_name,gs_school_address,gs_school_link,fuzzy_name_score,fuzzy_address_score
Middlesex,Monroe Township School District,Mill Lake,23-3290-040,"115 MONMOUTH ROAD, MONROE TWP, NJ, 08831",MILLLAKEELEMENTARYSCHOOL,115MONMOUTHROADMONROETOWNSHIPNJ08831,Mill Lake Elementary School,"115 MONMOUTH ROAD, Monroe Township, NJ, 08831",https://www.greatschools.org/new-jersey/monroe-township/1212-Mill-Lake-Elementary-School/,100.0,85.71428571428572
Monmouth,Neptune Township School District,Midtown Community Elementary School,25-3510-080,"1155 Corlies Ave, NEPTUNE, NJ, 07753",MIDTOWNCOMMUNITYELEMENTARYSCHOOL,1155CORLIESAVENEPTUNETOWNSHIPNJ07753,Midtown Community Elementary School,"1155 Corlies Ave, Neptune Township, NJ, 07753",https://www.greatschools.org/new-jersey/neptune-city/1291-Midtown-Community-Elementary-School/,100.0,85.71428571428572
Monmouth,Neptune Township School District,Summerfield Elementary School,25-3510-100,"1 Summerfield La, NEPTUNE, NJ, 07753",SUMMERFIELDELEMENTARYSCHOOL,1SUMMERFIELDLANEPTUNETOWNSHIPNJ07753,Summerfield Elementary School,"1 Summerfield La, Neptune Township, NJ, 07753",https://www.greatschools.org/new-jersey/neptune-city/1293-Summerfield-Elementary-School/,100.0,85.71428571428572
Ocean,Barnegat Township School District,Robert L. Horbelt Elementary School,29-0185-070,"104 BURR STREET, BARNEGAT, NJ, 08005",ROBERTLHORBELTELEMENTARYSCHOOL,104BURRSTREETBARNEGATTOWNSHIPNJ08005,Robert L Horbelt Elementary School,"104 BURR STREET, Barnegat Township, NJ, 08005",https://www.greatschools.org/new-jersey/barnegat-township/3468-Robert-L--Horbelt-Elementary-School/,100.0,85.71428571428572
Bergen,Ridgefield School District,Ridgefield Memorial High School,03-4370-050,"555 WALNUT ST, RIDGEFIELD, NJ, 07657",RIDGEFIELDMEMORIALHIGHSCHOOL,555WALNUTSTREETRIDGEFIELDNJ07657,Ridgefield Memorial High School,"555 Walnut Street, Ridgefield, NJ, 07657",https://www.greatschools.org/new-jersey/ridgefield/1724-Ridgefield-Memorial-High-School/,100.0,85.71428571428572
Camden,Cherry Hill School District,Horace Mann Elementary School,07-0800-075,"150 Walt Whitman Blvd., CHERRY HILL, NJ, 08003",HORACEMANNELEMENTARYSCHOOL,150WALTWHITMANBOULEVARDCHERRYHILLNJ08003,Horace Mann Elementary School,"150 Walt Whitman Boulevard, Cherry Hill, NJ, 08003",https://www.greatschools.org/new-jersey/cherry-hill/301-Horace-Mann-Elementary-School/,100.0,85.71428571428572
Middlesex,Monroe Township School District,Applegarth Elementary School,23-3290-300,"227 Applegarth Rd, Monroe Twp, NJ, 08831",APPLEGARTHELEMENTARYSCHOOL,227APPLEGARTHRDMONROETOWNSHIPNJ08831,Applegarth Elementary School,"227 Applegarth Rd, Monroe Township, NJ, 08831",https://www.greatschools.org/new-jersey/monroe-township/7146-Applegarth-Elementary-School/,100.0,85.71428571428572
Camden,"Camden Prep, Inc.","Camden Prep, Inc.",07-1801-113,"1575 Mt. Ephraim Ave, Camden, NJ, 08104",CAMDENPREPINC,1575MOUNTEPHRAIMAVENUECAMDENNJ08104,Camden Prep Inc.,"1575 Mount Ephraim Avenue, Camden, NJ, 08104",https://www.greatschools.org/new-jersey/camden/8832-Camden-Prep-Inc./,100.0,85.71428571428572
Ocean,Barnegat Township School District,Barnegat High School,29-0185-030,"180 BENGAL BLVD, BARNEGAT, NJ, 08005",BARNEGATHIGHSCHOOL,180BENGALBLVDBARNEGATTOWNSHIPNJ08005,Barnegat High School,"180 BENGAL BLVD, Barnegat Township, NJ, 08005",https://www.greatschools.org/new-jersey/barnegat-township/4283-Barnegat-High-School/,100.0,85.71428571428572
Camden,Voorhees Township School District,Edward T. Hamilton,07-5400-020,"1 Boundary Lane, VOORHEES, NJ, 08043",EDWARDTHAMILTONELEMENTARYSCHOOL,1BOUNDARYLANEVOORHEESTOWNSHIPNJ08043,Edward T. Hamilton Elementary School,"1 Boundary Lane, Voorhees Township, NJ, 08043",https://www.greatschools.org/new-jersey/voorhees-township/2067-Edward-T.-Hamilton-Elementary-School/,100.0,85.71428571428572
