county_name,district_name,school_name,county_district_school_code,school_address,name_enc,address_enc,gs_school_name,gs_school_address,gs_school_link,rating_band,rating,gs_name_enc,gs_address_enc,fuzzy_name_score,fuzzy_address_score
Bergen,Tenafly Public School District,Walter Stillman School,03-5160-100,"75 TENAFLY ROAD, TENAFLY, NJ, 07670",WALTERSTILLMANSCHOOL,75TENAFLYROADTENAFLYNJ07670,Walter Stillman Elementary School,"75 Tenafly Road, Tenafly, NJ, 07670",https://www.greatschools.org/new-jersey/tenafly/1943-Walter-Stillman-Elementary-School/,Above average,8.0,WALTERSTILLMANELEMENTARYSCHOOL,75TENAFLYROADTENAFLYNJ07670,80.0,100.0
Salem,Woodstown-Pilesgrove Regional School District,Mary S. Shoemaker School,33-5910-060,"MARY S  SHOEMAKER SCHOOL, WOODSTOWN, NJ, 08098",MARYSSHOEMAKERSCHOOL,MARYSSHOEMAKERSCHOOLWOODSTOWNNJ08098,Mary S. Shoemaker Elementary School,"MARY S SHOEMAKER SCHOOL, Woodstown, NJ, 08098",https://www.greatschools.org/new-jersey/woodstown/2279-Mary-S.-Shoemaker-Elementary-School/,Average,5.0,MARYSSHOEMAKERELEMENTARYSCHOOL,MARYSSHOEMAKERSCHOOLWOODSTOWNNJ08098,80.0,100.0
Monmouth,West Long Branch School District,Frank Antonides School,25-5640-050,"135 Locust Avenue, West Long Branch, NJ, 07764",FRANKANTONIDESSCHOOL,135LOCUSTAVENUEWESTLONGBRANCHNJ07764,Frank Antonides Elementary School,"135 Locust Avenue, West Long Branch, NJ, 07764",https://www.greatschools.org/new-jersey/west-long-branch/2149-Frank-Antonides-Elementary-School/,Average,5.0,FRANKANTONIDESELEMENTARYSCHOOL,135LOCUSTAVENUEWESTLONGBRANCHNJ07764,80.0,100.0
Bergen,Harrington Park School District,Harrington Park School,03-2050-050,"191 HARRIOT AVE, HARRINGTON PARK, NJ, 07640",HARRINGTONPARKSCHOOL,191HARRIOTAVEHARRINGTONPARKNJ07640,Harrington Park Elementary School,"191 Harriot Avenue, Harrington Park, NJ, 07640",https://www.greatschools.org/new-jersey/harrington-park/766-Harrington-Park-Elementary-School/,Above average,8.0,HARRINGTONPARKELEMENTARYSCHOOL,191HARRIOTAVENUEHARRINGTONPARKNJ07640,80.0,95.77464788732395
Atlantic,Egg Harbor City School District,Charles L. Spragg School,01-1300-020,"601 BUFFALO AVE, EGG HARBOR CITY, NJ, 08215",CHARLESLSPRAGGSCHOOL,601BUFFALOAVEEGGHARBORCITYNJ08215,Charles L Spragg Elementary School,"601 Buffalo Avenue, Egg Harbor City, NJ, 08215",https://www.greatschools.org/new-jersey/egg-harbor-city/494-Charles-L--Spragg-Elementary-School/,Below average,1.0,CHARLESLSPRAGGELEMENTARYSCHOOL,601BUFFALOAVENUEEGGHARBORCITYNJ08215,80.0,95.65217391304348
Essex,South Orange-Maplewood School District,Seth Boyden Elementary Demonstration School,13-4900-130,"274 BOYDEN AVE, MAPLEWOOD, NJ, 07040",SETHBOYDENELEMENTARYDEMONSTRATIONSCHOOL,274BOYDENAVEMAPLEWOODNJ07040,Seth Boyden Elementary School,"274 Boyden Avenue, Maplewood, NJ, 07040",https://www.greatschools.org/new-jersey/maplewood/1869-Seth-Boyden-Elementary-School/,Average,5.0,SETHBOYDENELEMENTARYSCHOOL,274BOYDENAVENUEMAPLEWOODNJ07040,80.0,94.91525423728814
Burlington,Florence Township School District,Florence Riverfront School,05-1520-055,"500 Front Street, FLORENCE, NJ, 08518",FLORENCERIVERFRONTSCHOOL,500FRONTSTREETFLORENCENJ08518,Riverfront School,"500 East Front Street, Florence, NJ, 08518",https://www.greatschools.org/new-jersey/florence-township/593-Riverfront-School/,Below average,3.0,RIVERFRONTSCHOOL,500EASTFRONTSTREETFLORENCENJ08518,80.0,93.5483870967742
Hunterdon,Lebanon Borough School District,Lebanon Borough School,19-2590-050,"6 MAPLE ST, LEBANON, NJ, 08833",LEBANONBOROUGHSCHOOL,6MAPLESTLEBANONNJ08833,Lebanon Borough Elementary School,"6 Maple Street, Lebanon, NJ, 08833",https://www.greatschools.org/new-jersey/lebanon/961-Lebanon-Borough-Elementary-School/,Average,6.0,LEBANONBOROUGHELEMENTARYSCHOOL,6MAPLESTREETLEBANONNJ08833,80.0,91.66666666666667
Sussex,Sandyston-Walpack Consolidated School District,Sandyston Walpack Consolidated School,37-4650-050,"100 ROUTE 560, LAYTON, NJ, 07851",SANDYSTONWALPACKCONSOLIDATEDSCHOOL,100ROUTE560LAYTONNJ07851,Sandyston-Walpack Cons. Elementary School,"100 ROUTE 560, Sandyston, NJ, 07851",https://www.greatschools.org/new-jersey/layton/1807-Sandyston-Walpack-Cons.-Elementary-School/,Average,6.0,SANDYSTONWALPACKCONSELEMENTARYSCHOOL,100ROUTE560SANDYSTONNJ07851,80.0,90.19607843137256
Mercer,Hamilton Township Public School District,Hamilton East - Steinert,21-1950-050,"2900 KLOCKNER ROAD, HAMILTON, NJ, 08690",HAMILTONEASTSTEINERT,2900KLOCKNERROADHAMILTONNJ08690,Hamilton East-Steinert High School,"2900 KLOCKNER ROAD, Hamilton Township, NJ, 08690",https://www.greatschools.org/new-jersey/hamilton-township/729-Hamilton-East-Steinert-High-School/,Below average,4.0,HAMILTONEASTSTEINERTHIGHSCHOOL,2900KLOCKNERROADHAMILTONTOWNSHIPNJ08690,80.0,88.57142857142857
Morris,Mine Hill Township School District,Canfield Avenue School,27-3240-030,"42 CANFIELD AVENUE, MINE HILL, NJ, 07803",CANFIELDAVENUESCHOOL,42CANFIELDAVENUEMINEHILLNJ07803,Canfield Avenue Elementary School,"42 CANFIELD AVENUE, Mine Hill Township, NJ, 07803",https://www.greatschools.org/new-jersey/mine-hill-township/1200-Canfield-Avenue-Elementary-School/,Average,5.0,CANFIELDAVENUEELEMENTARYSCHOOL,42CANFIELDAVENUEMINEHILLTOWNSHIPNJ07803,80.0,88.57142857142857
Monmouth,Manalapan-Englishtown Regional Schools School District,Lafayette Mills School,25-2920-055,"66 MAXWELL LANE, Manalapan, NJ, 07726",LAFAYETTEMILLSSCHOOL,66MAXWELLLANEMANALAPANNJ07726,Lafayette Mills Elementary School,"66 MAXWELL LANE, Manalapan Township, NJ, 07726",https://www.greatschools.org/new-jersey/manalapan-township/1082-Lafayette-Mills-Elementary-School/,Above average,9.0,LAFAYETTEMILLSELEMENTARYSCHOOL,66MAXWELLLANEMANALAPANTOWNSHIPNJ07726,80.0,87.87878787878788
Morris,Pequannock Township School District,Stephen J. Gerace School,27-4080-100,"59 Boulevard, Pequannock, NJ, 07440",STEPHENJGERACESCHOOL,59BOULEVARDPEQUANNOCKNJ07440,Stephen J. Gerace Elementary School,"59 Boulevard, Pequannock Township, NJ, 07440",https://www.greatschools.org/new-jersey/pequannock-township/1607-Stephen-J.-Gerace-Elementary-School/,Above average,10.0,STEPHENJGERACEELEMENTARYSCHOOL,59BOULEVARDPEQUANNOCKTOWNSHIPNJ07440,80.0,87.5
Somerset,Bridgewater-Raritan Regional School District,Hamilton Primary School,35-0555-063,"9 Hamilton Lane, Basking Ridge, NJ, 07920",HAMILTONPRIMARYSCHOOL,9HAMILTONLANEBASKINGRIDGENJ07920,Hamilton School,"9 Hamilton Lane, Bernards, NJ, 07920",https://www.greatschools.org/new-jersey/bridgewater-township/201-Hamilton-School/,Above average,8.0,HAMILTONSCHOOL,9HAMILTONLANEBERNARDSNJ07920,80.0,80.0
Morris,Pequannock Township School District,North Boulevard School,27-4080-060,"363 Boulevard, Pompton Plains, NJ, 07444",NORTHBOULEVARDSCHOOL,363BOULEVARDPOMPTONPLAINSNJ07444,North Boulevard Elementary School,"363 Boulevard, Pequannock Township, NJ, 07444",https://www.greatschools.org/new-jersey/pequannock-township/1605-North-Boulevard-Elementary-School/,Average,5.0,NORTHBOULEVARDELEMENTARYSCHOOL,363BOULEVARDPEQUANNOCKTOWNSHIPNJ07444,80.0,72.46376811594203
