gs_school_name,gs_school_address,gs_school_link,rating
Walnut Street Elementary School,"60 Walnut Street, Woodbury, NJ, 08096",https://www.greatschools.org/new-jersey/woodbury/2268-Walnut-Street-Elementary-School/,4.0
H. Ashton Marsh Elementary School,"800 Irelan Avenue, Absecon, NJ, 08201",https://www.greatschools.org/new-jersey/absecon/27-H.-Ashton-Marsh-Elementary-School/,4.0
Camden County Techical Vocational School,"6008 Browning Road, Pennsauken Township, NJ, 08109",https://www.greatschools.org/new-jersey/pennsauken-township/270-Camden-County-Techical-Vocational-School/,4.0
Cape May Co Tech High School,"188 CREST HAVEN RD, Middle Township, NJ, 08210",https://www.greatschools.org/new-jersey/middle-township/273-Cape-May-Co-Tech-High-School/,4.0
Henry P Becton Regional High School,"120 Paterson Avenue, East Rutherford, NJ, 07073",https://www.greatschools.org/new-jersey/east-rutherford/280-Henry-P-Becton-Reg-High-School/,4.0
Columbus Elementary School,"1 Carteret Avenue, Carteret, NJ, 07008",https://www.greatschools.org/new-jersey/carteret/282-Columbus-Elementary-School/,4.0
Carteret Middle School,"300 Carteret Avenue, Carteret, NJ, 07008",https://www.greatschools.org/new-jersey/carteret/283-Carteret-Middle-School/,4.0
Pvt. Nicholas Minue Elementary School,"83 Post Boulevard, Carteret, NJ, 07008",https://www.greatschools.org/new-jersey/carteret/284-Pvt.-Nicholas-Minue-Elementary-School/,4.0
Central Regional Middle School,"509 FOREST HILLS PARKWAY, Berkeley Township, NJ, 08721",https://www.greatschools.org/new-jersey/berkeley-township/291-Central-Regional-Middle-School/,4.0
Cherry Hill High-West High School,"2101 Chapel Ave., Cherry Hill, NJ, 08034",https://www.greatschools.org/new-jersey/cherry-hill/294-Cherry-Hill-High-West-High-School/,4.0
John A Carusi Middle School,"315 Roosevelt Dr., Cherry Hill, NJ, 08034",https://www.greatschools.org/new-jersey/cherry-hill/296-John-A-Carusi-Middle-School/,4.0
Clara Barton Elementary School,"223 Rhode Island Ave., Cherry Hill, NJ, 08034",https://www.greatschools.org/new-jersey/cherry-hill/298-Clara-Barton-Elementary-School/,4.0
Clayton High School,"55 Pop Kramer Boulevard, Clayton, NJ, 08312",https://www.greatschools.org/new-jersey/clayton/323-Clayton-High-School/,4.0
Clayton Middle School,"55 Pop Kramer Boulevard, Clayton, NJ, 08312",https://www.greatschools.org/new-jersey/clayton/325-Clayton-Middle-School/,4.0
Englewood on the Palisades Charter School,"65 West Demarest Avenue, Englewood, NJ, 07631",https://www.greatschools.org/new-jersey/englewood/3329-Englewood-On-The-Palisades-Charter-School/,4.0
East Orange Community Charter School,"99 Washington Street, East Orange, NJ, 07017",https://www.greatschools.org/new-jersey/east-orange/3336-East-Orange-Community-Charter-School/,4.0
Christopher Columbus Middle School,"350 Piaget Avenue, Clifton, NJ, 07011",https://www.greatschools.org/new-jersey/clifton/335-Christopher-Columbus-Middle-School/,4.0
International Charter School Of Trenton,"105 Grand Street, Trenton, NJ, 08611",https://www.greatschools.org/new-jersey/trenton/3356-International-Cs-Of-Trenton/,4.0
Woodrow Wilson Middle School,"1400 Van Houten Avenue, Clifton, NJ, 07013",https://www.greatschools.org/new-jersey/clifton/336-Woodrow-Wilson-Middle-School/,4.0
Village Charter School,"101 SULLIVAN WAY, Trenton, NJ, 08638",https://www.greatschools.org/new-jersey/trenton/3361-Village-Charter-School/,4.0
